time (seconds),encoderLeft (meters),encoderRight (meters)
203.896,1.205029845237732,0.8899052739143372
204.001,1.2150286436080933,0.8999040126800537
204.1,1.2250275611877441,0.9099026918411255
204.199,1.2350263595581055,0.9199013710021973
204.301,1.2450251579284668,0.9299001097679138
204.401,1.2550240755081177,0.9398987889289856
204.5,1.265022873878479,0.9498975276947021
204.6,1.2750216722488403,0.9598961472511292
204.702,1.2850204706192017,0.9698948860168457
204.802,1.295019268989563,0.9798935651779175
204.901,1.3050180673599243,0.9898922443389893
205.002,1.3150169849395752,0.999890923500061
205.101,1.3250157833099365,1.0098896026611328
205.201,1.3350145816802979,1.0198884010314941
205.299,1.3450134992599487,1.029887080192566
205.4,1.35501229763031,1.0398857593536377
205.502,1.3650110960006714,1.0498844385147095
205.591,1.3750098943710327,1.0598831176757812
205.701,1.385008692741394,1.069881796836853
205.806,1.395007610321045,1.0798805952072144
205.902,1.4050064086914062,1.0898792743682861
206.001,1.4150053262710571,1.099877953529358
206.101,1.4250041246414185,1.1098766326904297
206.2,1.4350029230117798,1.119875431060791
206.3,1.4450017213821411,1.1298741102218628
206.401,1.455000638961792,1.1398727893829346
206.495,1.4649994373321533,1.1498714685440063
206.601,1.4749982357025146,1.1598701477050781
206.686,1.4849971532821655,1.16986882686615
206.801,1.4949959516525269,1.1798675060272217
206.9,1.5049947500228882,1.189866304397583
207.002,1.5149935483932495,1.1998649835586548
207.099,1.5249924659729004,1.2098636627197266
207.201,1.5349912643432617,1.2198623418807983
207.302,1.544990062713623,1.2298610210418701
207.401,1.554988980293274,1.2398598194122314
207.501,1.5649877786636353,1.2498584985733032
207.601,1.5749865770339966,1.259857177734375
207.7,1.584985375404358,1.2698558568954468
207.801,1.5949841737747192,1.2798545360565186
207.901,1.6049829721450806,1.2898532152175903
208,1.614981770515442,1.299851894378662
208.101,1.6249806880950928,1.3098505735397339
208.2,1.634979486465454,1.3198492527008057
208.301,1.6449782848358154,1.3298479318618774
208.401,1.6549770832061768,1.3398466110229492
208.499,1.6649760007858276,1.3498454093933105
208.601,1.674974799156189,1.3598440885543823
208.7,1.6849735975265503,1.369842767715454
208.801,1.6949723958969116,1.3798414468765259
208.898,1.704971194267273,1.3898401260375977
208.996,1.7149701118469238,1.3998388051986694
209.1,1.7249689102172852,1.4098374843597412
209.198,1.7349677085876465,1.419836163520813
209.301,1.7449665069580078,1.4298348426818848
209.395,1.7549653053283691,1.439833641052246
209.499,1.76496422290802,1.4498323202133179
209.597,1.7749630212783813,1.4598309993743896
209.701,1.7849618196487427,1.4698296785354614
209.793,1.7949607372283936,1.4798283576965332
209.901,1.8049595355987549,1.4898271560668945
209.999,1.8149583339691162,1.4998258352279663
210.099,1.824957251548767,1.509824514389038
210.193,1.8349560499191284,1.5198231935501099
210.301,1.8449548482894897,1.5298218727111816
210.399,1.854953646659851,1.5398205518722534
210.5,1.8649524450302124,1.5498192310333252
210.6,1.8749513626098633,1.5598180294036865
210.701,1.8849501609802246,1.5698167085647583
210.805,1.894948959350586,1.57981538772583
210.902,1.9049477577209473,1.5898140668869019
211.002,1.9149465560913086,1.5998127460479736
211.101,1.9249454736709595,1.609811544418335
211.204,1.9349442720413208,1.6198101043701172
211.3,1.9449431896209717,1.6298089027404785
211.401,1.954941987991333,1.6398075819015503
211.501,1.9649407863616943,1.649806261062622
211.601,1.9749395847320557,1.6598049402236938
211.702,1.984938383102417,1.6698036193847656
211.801,1.9949373006820679,1.6798022985458374
211.901,2.0049359798431396,1.6898009777069092
212,2.01493501663208,1.6997997760772705
212.101,2.0249338150024414,1.7097984552383423
212.201,2.0349326133728027,1.719797134399414
212.301,2.044931411743164,1.7297958135604858
212.401,2.0549302101135254,1.7397944927215576
212.5,2.0649290084838867,1.7497931718826294
212.598,2.074927806854248,1.7597919702529907
212.701,2.0849266052246094,1.7697906494140625
212.801,2.0949254035949707,1.7797893285751343
212.893,2.104924201965332,1.789788007736206
213.001,2.1149232387542725,1.7997866868972778
213.098,2.124922037124634,1.8097853660583496
213.201,2.134920835494995,1.8197840452194214
213.301,2.1449196338653564,1.8297827243804932
213.401,2.1549184322357178,1.8397815227508545
213.501,2.164917230606079,1.8497802019119263
213.599,2.1749162673950195,1.859778881072998
213.702,2.184915065765381,1.8697775602340698
213.8,2.194913864135742,1.8797762393951416
213.9,2.2049126625061035,1.8897749185562134
214.001,2.214911460876465,1.8997737169265747
214.101,2.224910259246826,1.9097723960876465
214.2,2.2349090576171875,1.9197710752487183
214.3,2.244907855987549,1.92976975440979
214.401,2.25490665435791,1.9397684335708618
214.501,2.2649056911468506,1.9497671127319336
214.6,2.274904489517212,1.959765911102295
214.701,2.2849032878875732,1.9697645902633667
214.799,2.2949020862579346,1.9797632694244385
214.901,2.304900884628296,1.9897619485855103
215.001,2.3148996829986572,1.9997607469558716
215.101,2.3248987197875977,2.0097594261169434
215.199,2.334897518157959,2.0197582244873047
215.29,2.3448963165283203,2.029756784439087
215.4,2.3548789024353027,2.0397520065307617
215.501,2.3648462295532227,2.0497424602508545
215.6,2.374821186065674,2.059736967086792
215.697,2.384787082672119,2.06972599029541
215.801,2.394751787185669,2.0797088146209717
215.901,2.4047176837921143,2.0896859169006348
216,2.414698362350464,2.0996646881103516
216.101,2.424687623977661,2.1096413135528564
216.2,2.4346773624420166,2.119605541229248
216.301,2.4446682929992676,2.129554271697998
216.399,2.454623222351074,2.1394753456115723
216.501,2.464566707611084,2.1494016647338867
216.599,2.4745233058929443,2.15936279296875
216.702,2.4845030307769775,2.1693482398986816
216.797,2.4944825172424316,2.179333209991455
216.901,2.5044615268707275,2.189317464828491
217,2.5144410133361816,2.199300765991211
217.103,2.524420976638794,2.2092840671539307
217.201,2.5344021320343018,2.2192671298980713
217.302,2.5443825721740723,2.2292494773864746
217.401,2.5543644428253174,2.239232301712036
217.501,2.5643467903137207,2.2492172718048096
217.6,2.574328660964966,2.2592012882232666
217.701,2.584310531616211,2.2691853046417236
217.799,2.594292402267456,2.279169797897339
217.901,2.6042747497558594,2.2891530990600586
218.001,2.6142570972442627,2.2991364002227783
218.106,2.624239921569824,2.3091206550598145
218.201,2.634223222732544,2.319103956222534
218.299,2.6442067623138428,2.3290867805480957
218.401,2.6541907787323,2.3390703201293945
218.501,2.664175033569336,2.349052667617798
218.6,2.674159526824951,2.359034538269043
218.7,2.6841444969177246,2.369016408920288
218.799,2.694129467010498,2.3789985179901123
218.9,2.704113006591797,2.3889808654785156
218.999,2.7140965461730957,2.398963451385498
219.1,2.7240800857543945,2.4089460372924805
219.2,2.7340638637542725,2.4189274311065674
